# Time-averaged data for fix favg
# TimeStep v_vpe v_vke v_vT v_vE v_vRg
5100000 -87.9004 925.575 301.175 837.674 135.881
5200000 -94.0597 922.06 300.031 828.001 136.389
5300000 -130.973 926.809 301.576 795.836 139.409
5400000 -131.655 920.726 299.597 789.072 141.278
5500000 -136.793 913.35 297.197 776.557 141.963
5600000 -141.453 920.894 299.652 779.44 142.15
5700000 -134.961 917.829 298.654 782.868 142.77
5800000 -127.232 912.681 296.979 785.449 144.319
5900000 -86.068 918.557 298.891 832.489 145.696
6000000 -81.8763 927.932 301.942 846.055 146.534
6100000 -68.2302 917.48 298.541 849.25 146.884
6200000 -77.3834 917.767 298.634 840.383 148.098
6300000 -103.727 923.402 300.468 819.675 148.942
6400000 -104.139 922.518 300.18 818.379 150.762
6500000 -137.259 937.576 305.08 800.318 152.069
6600000 -121.834 918.833 298.981 796.998 153.381
6700000 -104.537 928.41 302.097 823.873 152.759
6800000 -105.348 920.005 299.362 814.657 153.542
6900000 -124.411 921.766 299.935 797.355 154.277
7000000 -105.439 916.231 298.134 810.793 155.676
7100000 -68.4626 921.59 299.878 853.127 155.511
7200000 -70.149 923.081 300.363 852.932 156.806
7300000 -95.1862 906.706 295.035 811.52 157.047
7400000 -116.095 932.379 303.389 816.284 157.7
7500000 -118.413 921.517 299.854 803.104 158.362
7600000 -91.3919 929.265 302.375 837.873 159.697
7700000 -89.6928 931.139 302.985 841.446 159.592
7800000 -65.6311 926.076 301.338 860.445 160.216
7900000 -73.9006 923.205 300.404 849.304 160.467
8000000 -81.4678 928.41 302.097 846.942 161.332
8100000 -81.3504 933.171 303.647 851.821 161.494
8200000 -80.1922 913.56 297.265 833.368 162.441
8300000 -88.1685 910.776 296.359 822.608 163.809
8400000 -86.3211 926.099 301.345 839.778 164.293
8500000 -96.5769 921.93 299.989 825.353 164.258
8600000 -114.864 933.858 303.87 818.994 164.385
8700000 -92.2407 917.986 298.705 825.745 164.564
8800000 -100.904 918.417 298.846 817.512 165.289
8900000 -121.656 912.775 297.01 791.119 165.48
9000000 -89.8312 920.788 299.617 830.956 165.453
9100000 -86.8653 924.661 300.877 837.795 166.905
9200000 -75.7649 920.875 299.646 845.11 166.35
9300000 -63.0551 918.561 298.893 855.506 165.697
9400000 -53.6933 924.668 300.88 870.975 167.006
9500000 -113.923 908.013 295.46 794.09 167.147
9600000 -131.35 917.474 298.539 786.124 167.266
9700000 -126.59 928.789 302.221 802.198 167.987
9800000 -92.2255 931.718 303.174 839.493 168.088
9900000 -104.455 934.337 304.026 829.882 168.035
10000000 -106.587 911.559 296.614 804.972 169.374
10100000 -129.836 915.586 297.924 785.75 170.194
10200000 -114.737 915.227 297.808 800.49 170.336
10300000 -96.6846 932.767 303.515 836.082 170.719
10400000 -126.938 919.721 299.27 792.783 171.639
10500000 -88.4238 923.134 300.381 834.71 172.711
10600000 -109.064 917.69 298.609 808.626 172.907
10700000 -91.9384 920.44 299.504 828.502 173.726
10800000 -105.187 917.008 298.387 811.821 174.395
10900000 -83.8208 921.809 299.949 837.988 175.286
11000000 -101.457 915.499 297.896 814.042 176.703
11100000 -100.817 918.688 298.934 817.87 177.754
11200000 -116.204 922.937 300.317 806.733 178.815
11300000 -102.486 931.183 303 828.697 178.966
