# Time-averaged data for fix favg
# TimeStep v_vpe v_vke v_vT v_vE v_vRg
5100000 457.217 929.075 302.314 1386.29 146.481
5200000 448.524 939.613 305.743 1388.14 147.553
5300000 460.149 935.593 304.435 1395.74 147.572
5400000 463.965 919.347 299.148 1383.31 149.182
5500000 466.403 920.471 299.514 1386.87 151.37
5600000 475.339 912.618 296.959 1387.96 152.168
5700000 473.059 925.043 301.002 1398.1 152.085
5800000 465.776 926.917 301.611 1392.69 152.96
5900000 471.97 930.817 302.881 1402.79 153.933
6000000 478.142 927.761 301.886 1405.9 155.914
6100000 481.446 927.876 301.923 1409.32 155.751
6200000 467.177 914.202 297.474 1381.38 156.792
6300000 467.603 933.892 303.881 1401.5 157.397
6400000 468.832 917.606 298.582 1386.44 157.373
6500000 482.335 911.591 296.624 1393.93 158.468
6600000 491.894 920.458 299.51 1412.35 158.203
6700000 491.324 920.434 299.502 1411.76 159.574
6800000 490.043 919.256 299.119 1409.3 161.513
6900000 474.681 924.644 300.872 1399.33 162.048
7000000 465.779 915.899 298.026 1381.68 162.323
7100000 473.632 928.758 302.211 1402.39 162.663
7200000 490.342 911.473 296.586 1401.81 162.372
7300000 488.808 916.343 298.171 1405.15 163.189
7400000 483.455 915.83 298.004 1399.29 164.622
7500000 483.828 919.356 299.151 1403.18 164.353
7600000 474.922 926.913 301.61 1401.83 166.755
7700000 471.252 920.379 299.484 1391.63 167.783
7800000 467.805 922.855 300.29 1390.66 169.289
7900000 468.014 920.962 299.674 1388.98 171.218
8000000 480.699 923.618 300.538 1404.32 172.01
8100000 474.235 927.258 301.722 1401.49 173.004
8200000 475.509 913.388 297.209 1388.9 174.556
8300000 476.463 927.835 301.91 1404.3 176.094
8400000 473.753 920.46 299.51 1394.21 177.921
8500000 478.492 930.881 302.901 1409.37 179.206
8600000 450.821 917.096 298.416 1367.92 181.441
8700000 472.548 919.307 299.135 1391.86 182.031
8800000 463.811 925.755 301.233 1389.57 184.046
8900000 465.843 929.282 302.381 1395.13 185.686
9000000 469.693 921.359 299.803 1391.05 187.092
9100000 469.509 910.027 296.116 1379.54 190.219
9200000 478.596 922.242 300.09 1400.84 193.131
9300000 473.679 928.42 302.101 1402.1 193.781
9400000 470.873 924.963 300.976 1395.84 195.241
9500000 465.809 916.887 298.348 1382.7 197.071
9600000 480.833 911.855 296.71 1392.69 197.981
9700000 471.667 919.869 299.318 1391.54 198.44
9800000 459.606 923.928 300.639 1383.53 197.202
9900000 472.587 924.021 300.669 1396.61 198.024
10000000 459.464 914.391 297.536 1373.86 199.814
10100000 472.455 926.136 301.357 1398.59 200.809
10200000 481.443 911.303 296.531 1392.75 202.31
10300000 494.823 924.936 300.967 1419.76 203.162
10400000 487.458 930.684 302.837 1418.14 206.156
10500000 477.128 920.711 299.592 1397.84 207.855
10600000 465.491 911.264 296.518 1376.76 209.64
10700000 474.694 920.918 299.659 1395.61 209.372
10800000 468.93 924.288 300.756 1393.22 209.294
10900000 467.875 924.384 300.787 1392.26 210.462
11000000 473.794 913.447 297.228 1387.24 211.329
11100000 466.141 929.158 302.341 1395.3 213.797
11200000 456.315 919.813 299.3 1376.13 215.449
11300000 477.843 928.071 301.987 1405.91 216.485
11400000 472.432 915.556 297.915 1387.99 216.532
11500000 479.095 932.1 303.298 1411.19 217.042
11600000 481.762 916.174 298.116 1397.94 216.961
11700000 490.694 903.304 293.928 1394 216.712
11800000 492.008 918.994 299.033 1411 216.767
11900000 478.734 917.94 298.691 1396.67 219.046
12000000 483.913 931.176 302.997 1415.09 220.605
12100000 466.8 926.825 301.581 1393.62 221.444
12200000 465.533 937.655 305.105 1403.19 222.025
12300000 474.703 926.838 301.586 1401.54 222.056
12400000 473.361 931.059 302.959 1404.42 222.622
12500000 466.285 912.113 296.794 1378.4 223.092
12600000 470.769 928.193 302.027 1398.96 223.13
12700000 467.864 915.741 297.975 1383.6 222.678
12800000 485.302 911.46 296.582 1396.76 224.921
12900000 475.458 934.331 304.024 1409.79 224.664
13000000 479.112 923.089 300.366 1402.2 227.144
13100000 482.299 918.011 298.714 1400.31 228.233
13200000 464.436 932.367 303.385 1396.8 229.028
13300000 470.491 916.971 298.375 1387.46 228.599
13400000 454.314 922.773 300.263 1377.09 227.547
13500000 481.213 929.989 302.611 1411.2 227.375
13600000 472.459 915.504 297.898 1387.96 226.834
